-0.461,-4087.80,8.70,1.00,-0.352
-0.481,-4341.00,8.80,1.00,-0.361
-0.52,-4833.10,9.00,1.00,-0.379
-0.56,-5401.20,9.20,1.00,-0.397
-0.581,-5677.70,9.30,2.00,-0.405
-0.588,-5621.10,9.50,2.00,-0.407
-0.561,-4691.70,9.70,2.00,-0.395
-0.539,-4007.30,9.80,2.00,-0.383
-0.50,-3087.90,10.00,2.00,-0.364
-0.461,-2304.70,10.20,2.00,-0.344
-0.44,-1979.60,10.30,2.00,-0.334
-0.40,-1400.60,10.50,2.00,-0.314
-0.357,-878.00,10.70,2.00,-0.291
-0.339,-701.80,10.80,2.00,-0.282
-0.30,-303.30,11.00,2.00,-0.26
-0.261,-0.30,11.20,2.00,-0.235
-0.24,126.40,11.30,2.00,-0.223
-0.201,327.60,11.50,2.00,-0.196
-0.161,355.00,11.70,2.00,-0.16
-0.14,359.10,11.80,2.00,-0.138
-0.101,361.00,12.00,2.00,-0.099
-0.06,355.40,12.20,2.00,-0.058
-0.041,361.00,12.30,2.00,-0.037
0.00,361.30,12.50,2.00,0.004
0.039,369.30,12.70,2.00,0.044
0.059,387.90,12.80,2.00,0.065
0.10,526.70,13.00,2.00,0.103
0.14,638.30,13.20,2.00,0.138
0.16,676.60,13.30,2.00,0.158
0.20,721.00,13.50,2.00,0.198
0.241,749.10,13.70,2.00,0.238
0.26,774.20,13.80,2.00,0.257
0.299,855.70,14.00,2.00,0.295
0.34,1023.40,14.20,2.00,0.328
0.359,1130.40,14.30,2.00,0.342
0.40,1445.80,14.50,2.00,0.367
0.439,1817.60,14.70,2.00,0.39
0.46,2030.80,14.80,2.00,0.40
0.50,2507.90,15.00,2.00,0.419
0.54,2998.60,15.20,2.00,0.437
0.56,3270.60,15.30,2.00,0.445
0.599,3847.90,15.50,2.00,0.461
0.64,4429.20,15.70,2.00,0.478
0.66,4727.90,15.80,2.00,0.486
0.70,5340.40,16.00,2.00,0.503
0.74,5954.20,16.20,2.00,0.518
0.779,6615.00,16.40,2.00,0.535
0.819,7272.10,16.60,2.00,0.551
0.86,7969.60,16.80,2.00,0.567
0.90,8665.60,17.00,2.00,0.586
0.94,9400.90,17.20,2.00,0.603
0.98,10122.50,17.40,2.00,0.62
1.02,10883.80,17.60,2.00,0.639
1.06,11645.60,17.80,2.00,0.659
1.10,12434.60,18.00,2.00,0.677
1.14,13213.10,18.20,2.00,0.696
1.178,13927.00,18.40,3.00,0.715
1.179,13759.90,18.60,3.00,0.715
1.151,12769.20,18.80,3.00,0.703
1.109,11466.30,19.00,3.00,0.68
1.069,10276.10,19.20,3.00,0.661
1.028,9170.00,19.40,3.00,0.641
0.989,8102.90,19.60,3.00,0.623
0.948,7118.60,19.80,3.00,0.605
0.909,6154.20,20.00,3.00,0.586
0.87,5288.30,20.20,3.00,0.57
0.829,4434.20,20.40,3.00,0.555
0.791,3720.50,20.60,3.00,0.54
0.749,2991.90,20.80,3.00,0.527
0.709,2378.80,21.00,3.00,0.514
0.669,1834.40,21.20,3.00,0.50
0.629,1333.20,21.40,3.00,0.484
0.589,942.50,21.60,3.00,0.47
0.548,584.30,21.80,3.00,0.453
0.51,283.40,22.00,3.00,0.434
0.469,31.70,22.20,3.00,0.414
0.429,-190.20,22.40,3.00,0.388
0.39,-314.30,22.60,3.00,0.356
0.349,-345.40,22.80,3.00,0.317
0.309,-348.60,23.00,3.00,0.274
0.269,-338.20,23.20,3.00,0.233
0.229,-350.00,23.40,3.00,0.192
0.191,-350.50,23.60,3.00,0.151
0.15,-343.80,23.80,3.00,0.109
0.11,-420.10,24.00,3.00,0.071
0.069,-516.80,24.20,3.00,0.036
0.03,-576.20,24.40,3.00,0.001
-0.01,-623.70,24.60,3.00,-0.036
-0.051,-697.20,24.80,3.00,-0.074
-0.09,-794.70,25.00,3.00,-0.105
-0.132,-944.30,25.20,3.00,-0.14
